,date,open,high,low,close,adj_close,Volume,r_pos_score,r_neu_score,r_neg_score,t_pos_score,t_neu_score,t_neg_score
237,2021-04-14,42.897575,44.53426,40.112778,42.640842,42.640842,2954854988.0,,,,0.055567889632107,0.9325026722408024,0.0119157157190635
238,2021-04-15,42.572529,44.300522,41.516823,43.515968,43.515968,2266870611.0,0.087248619047619,0.8878724285714285,0.024901,0.0526290991735537,0.9359249669421488,0.0114390165289256
239,2021-04-16,43.466961,43.798004,40.163822,41.537975,41.537975,2697585009.0,0.0863941623931623,0.8810651025641025,0.0282830512820512,0.0674558335974643,0.9220422044374008,0.010500207606973
240,2021-04-17,41.513165,48.360451,41.498756,42.53595,42.53595,4593280503.0,0.1141304498381877,0.8545220355987054,0.0313699320388349,0.0558478899521531,0.932013759170654,0.012134971291866
241,2021-04-18,42.562031,43.106678,32.870373,37.347431,37.347431,5942657694.0,0.0798076037735849,0.8941613773584906,0.0260151509433962,0.072090953271028,0.9163736635514018,0.0115360467289719
242,2021-04-19,37.373474,38.69323,34.065147,34.816669,34.816669,2813475560.0,0.1029570439560439,0.8595834175824175,0.0374625384615384,0.058970387755102,0.9272854387755102,0.0137433469387755
243,2021-04-20,34.715572,35.728565,31.642418,35.444435,35.444435,3357861319.0,0.1044931875,0.86053225,0.0349775624999999,0.0504821881188118,0.9384584257425742,0.0110524851485148
244,2021-04-21,35.461788,36.260265,33.10825,33.871029,33.871029,2811533459.0,0.1194225384615384,0.8590717692307692,0.0184225384615384,0.0537637737226277,0.9349462554744524,0.0112911459854014
245,2021-04-22,33.79372,36.713581,32.810593,32.988476,32.988476,3470349242.0,0.0929005633187772,0.8815992532751091,0.0255031834061135,0.0564657619047619,0.9274829047619048,0.0160543333333333
246,2021-04-23,32.955112,33.455231,27.130444,32.227985,32.227985,4380184942.0,0.083840344262295,0.8895878852459016,0.0265878852459016,0.0771558117154811,0.9093552538354254,0.0134919344490934
247,2021-04-24,32.255932,32.393082,28.567087,28.932833,28.932833,2000992624.0,0.0973453396226415,0.8787557169811321,0.0239255283018867,0.0688395826771653,0.9179721286089236,0.0131952257217847
248,2021-04-25,28.968763,31.261881,28.184216,29.762489,29.762489,1620694353.0,0.1095710483091787,0.8594116280193236,0.0310106618357487,0.0628293712784588,0.926494870402802,0.010678758318739
249,2021-04-26,29.813658,33.45232,29.784292,33.406628,33.406628,2200104405.0,0.111259064516129,0.8387751935483871,0.0391945483870967,0.0613807216699801,0.9259632266401592,0.0126570636182902
250,2021-04-27,33.418903,34.922016,33.190323,34.703159,34.703159,1844667809.0,0.0994577901234567,0.8768281604938272,0.0237252798353909,0.0569701780821917,0.9287749726027398,0.0142612739726027
251,2021-04-28,34.792046,35.346615,32.645016,33.967552,33.967552,1856657053.0,0.0730104637223974,0.9046003690851734,0.0224174037854889,0.050141243902439,0.936291650406504,0.0135640081300813
252,2021-04-29,33.964973,35.968155,32.991276,35.968155,35.968155,1827249049.0,0.0769786951672862,0.8948969107806691,0.0243913345724907,0.0518987556109725,0.9351680822942644,0.0129386558603491
253,2021-04-30,35.977894,36.795033,35.135654,36.540665,36.540665,2210863082.0,0.1208671087866108,0.8581558117154812,0.0209717112970711,0.0609690511182108,0.9274946102236422,0.0115297539936102
